Date,Open,High,Low,Close,Volume,RSI,Overbought,Oversold,Signal,Reversal
2025-03-24 11:10:00,486.9,487.51,486.9,487.45,14381.0,72.01468784888914,True,False,Sell,False
2025-03-24 11:25:00,487.42,487.52,487.21,487.5,6133.0,71.637416196198,True,False,Sell,False
2025-03-24 13:00:00,488.18,488.45,488.02,488.4,45703.0,70.30085634163285,True,False,Sell,False
2025-03-25 08:10:00,489.6,489.65,489.33,489.33,7677.0,26.85790318313978,False,True,Buy,False
2025-03-25 08:25:00,489.26,489.35,488.97,488.97,3313.0,29.532461916225017,False,True,Buy,False
2025-03-25 10:40:00,490.48,490.69,490.34,490.69,5333.0,72.42362287239241,True,False,Sell,False
2025-03-25 10:55:00,490.65,490.73,490.65,490.73,2639.0,70.56407192928127,True,False,Sell,False
2025-03-25 11:30:00,490.98,491.13,490.82,491.13,9916.0,70.73947895660676,True,False,Sell,False
2025-03-25 11:40:00,491.1,491.32,491.1,491.21,6003.0,71.0118113891682,True,False,Sell,False
2025-03-25 20:00:00,493.46,493.77,493.4,493.76,276512.0,71.45165159097083,True,False,Sell,False
2025-03-26 08:00:00,493.28,494.0,493.09,493.12,5297.0,26.68129185669274,False,True,Buy,False
2025-03-26 09:55:00,492.26,492.35,492.16,492.16,5673.0,29.948809002453842,False,True,Buy,False
2025-03-26 13:30:00,492.3,492.81,491.69,492.04,693462.0,29.538200813159524,False,True,Buy,False
2025-03-26 13:50:00,491.31,491.52,490.37,490.755,660474.0,26.204034564580567,False,True,Buy,False
2025-03-26 15:50:00,487.64,487.71,486.46,486.79,685285.0,25.903139333792026,False,True,Buy,False
2025-03-26 16:55:00,485.46,485.49,484.78,484.9401,400788.0,27.662923679932035,False,True,Buy,False
2025-03-26 17:15:00,485.21,485.28,484.56,484.65,493670.0,27.975789789754803,False,True,Buy,False
2025-03-26 17:30:00,484.67,484.7346,483.96,484.0,378096.0,26.066034997655134,False,True,Buy,False
2025-03-26 18:50:00,483.25,483.4009,483.06,483.24,198300.0,29.79911017081176,False,True,Buy,False
2025-03-26 22:15:00,482.8,482.89,482.0,482.1,40651.0,29.414801383550962,False,True,Buy,False
2025-03-27 11:25:00,482.98,483.03,482.52,482.64,18098.0,29.244675145711007,False,True,Buy,False
2025-03-27 13:30:00,482.41,483.4,481.17,481.67,1287792.0,25.69016068616026,False,True,Buy,False
2025-03-27 23:05:00,481.05,481.05,480.74,480.76,7424.0,27.992909788387276,False,True,Buy,False
2025-03-28 08:00:00,478.64,479.26,478.44,479.26,34719.0,20.680865094006258,False,True,Buy,False
2025-03-28 13:00:00,478.63,478.76,478.43,478.43,48421.0,28.68018479781384,False,True,Buy,False
2025-03-28 14:05:00,478.065,478.14,475.83,476.1095,1608173.0,29.942113614218826,False,True,Buy,False
2025-03-28 15:20:00,472.01,472.3,471.33,471.49,263958.0,28.15938294847225,False,True,Buy,False
2025-03-28 16:15:00,471.115,471.2,469.8001,469.82,494034.0,28.67593842959169,False,True,Buy,False
2025-03-28 17:05:00,469.5241,469.6,468.9001,468.9299,433131.0,29.184200726714604,False,True,Buy,False
2025-03-28 20:50:00,467.27,467.28,466.92,466.9599,42518.0,29.68591056855744,False,True,Buy,False
2025-03-31 08:00:00,464.66,464.66,462.96,463.6,31245.0,10.59247399700698,False,True,Buy,False
2025-03-31 11:25:00,461.93,461.99,461.25,461.35,55303.0,27.986036728186775,False,True,Buy,False
2025-03-31 13:30:00,461.92,462.52,458.24,458.68,2390233.0,20.1780684434478,False,True,Buy,False
2025-03-31 13:40:00,459.58,459.68,458.0,458.0001,1714555.0,24.442299825266105,False,True,Buy,False
2025-03-31 22:10:00,467.26,467.26,466.22,466.37,32647.0,29.4637283897423,False,True,Buy,False
2025-04-01 08:25:00,468.56,469.08,468.54,468.97,6678.0,72.26979785401127,True,False,Sell,False
2025-04-01 08:50:00,469.09,469.37,469.09,469.37,2121.0,71.08031910751853,True,False,Sell,False
2025-04-01 09:15:00,469.32,469.77,469.32,469.76,6114.0,72.01799634760265,True,False,Sell,False
2025-04-01 09:30:00,469.73,470.12,469.72,469.99,21115.0,72.5477874469772,True,False,Sell,False
