Date,Open,High,Low,Close,Volume
2025-03-24 08:00:00,485.66,486.09,484.72,486.09,28781.0
2025-03-24 08:05:00,486.2,486.71,486.17,486.68,10791.0
2025-03-24 08:10:00,486.7,486.89,486.53,486.89,11360.0
2025-03-24 08:15:00,486.91,486.99,486.44,486.45,12497.0
2025-03-24 08:20:00,486.49,486.64,486.26,486.62,6590.0
2025-03-24 08:25:00,486.55,486.62,486.43,486.55,4371.0
2025-03-24 08:30:00,486.51,486.67,486.42,486.53,12522.0
2025-03-24 08:35:00,486.62,486.64,486.5,486.51,4208.0
2025-03-24 08:40:00,486.67,486.74,486.51,486.51,6525.0
2025-03-24 08:45:00,486.57,486.68,486.37,486.67,8077.0
2025-03-24 08:50:00,486.6,486.82,486.6,486.82,7072.0
2025-03-24 08:55:00,486.87,486.99,486.55,486.75,13433.0
2025-03-24 09:00:00,486.76,486.76,486.36,486.36,9912.0
2025-03-24 09:05:00,486.52,486.7,486.49,486.68,5080.0
2025-03-24 09:10:00,486.6,486.84,486.52,486.84,3387.0
2025-03-24 09:15:00,486.85,486.85,486.63,486.63,2635.0
2025-03-24 09:20:00,486.67,486.77,486.5,486.57,10501.0
2025-03-24 09:25:00,486.53,486.54,486.28,486.35,4824.0
2025-03-24 09:30:00,486.23,486.23,486.0,486.0,12945.0
2025-03-24 09:35:00,485.96,486.21,485.95,486.14,9266.0
2025-03-24 09:40:00,486.04,486.18,486.03,486.15,10497.0
2025-03-24 09:45:00,486.38,486.42,486.32,486.35,4965.0
2025-03-24 09:50:00,486.43,486.43,486.2,486.29,4371.0
2025-03-24 09:55:00,486.27,486.27,486.15,486.24,7346.0
2025-03-24 10:00:00,486.16,486.27,486.05,486.18,4723.0
2025-03-24 10:05:00,486.26,486.26,486.21,486.21,1048.0
2025-03-24 10:10:00,486.2,486.23,486.14,486.14,1315.0
2025-03-24 10:15:00,486.35,486.46,486.35,486.46,5945.0
2025-03-24 10:20:00,486.4,486.69,486.4,486.6,5759.0
2025-03-24 10:25:00,486.55,486.7,486.53,486.66,4180.0
2025-03-24 10:30:00,486.68,486.82,486.65,486.82,5688.0
2025-03-24 10:35:00,486.95,487.1,486.95,487.0,21983.0
2025-03-24 10:40:00,487.04,487.04,486.91,487.0,5941.0
2025-03-24 10:45:00,486.95,486.95,486.77,486.83,5750.0
2025-03-24 10:50:00,486.82,486.84,486.75,486.84,3597.0
2025-03-24 10:55:00,486.78,486.9,486.73,486.77,9892.0
2025-03-24 11:00:00,486.72,486.97,486.61,486.81,16711.0
2025-03-24 11:05:00,486.83,486.9,486.41,486.88,19041.0
2025-03-24 11:10:00,486.9,487.51,486.9,487.45,14381.0
2025-03-24 11:15:00,487.45,487.54,487.33,487.39,15191.0
2025-03-24 11:20:00,487.5,487.6,487.34,487.39,17496.0
2025-03-24 11:25:00,487.42,487.52,487.21,487.5,6133.0
2025-03-24 11:30:00,487.44,487.44,487.12,487.18,10208.0
2025-03-24 11:35:00,487.16,487.53,487.15,487.49,7168.0
2025-03-24 11:40:00,487.55,487.62,487.35,487.35,13927.0
2025-03-24 11:45:00,487.4,487.8,487.4,487.73,15884.0
2025-03-24 11:50:00,487.71,487.71,487.68,487.68,1146.0
2025-03-24 11:55:00,487.66,487.83,487.53,487.7,55205.0
2025-03-24 12:00:00,486.86,487.83,483.95,487.6002,199928.0
2025-03-24 12:05:00,487.6,487.84,487.5826,487.7999,43477.0
2025-03-24 12:10:00,487.8,487.82,487.51,487.5106,39929.0
2025-03-24 12:15:00,487.5,487.58,487.3509,487.3509,27170.0
2025-03-24 12:20:00,487.38,487.72,487.35,487.72,15737.0
2025-03-24 12:25:00,487.73,487.85,487.71,487.8402,31313.0
2025-03-24 12:30:00,487.85,488.08,487.85,487.99,34381.0
